,Text,Category
37,# Knowledge of Interdependence - Circular flow of income signifies the interdependence of each of activity upon one another.,Business and Economy
38,"# Unending Nature of Economic Activities - It signifies that production, income and expenditure are of unending nature, therefore, economic activities in an economy can never come to a halt.",Business and Economy
39,# Injections and Leakages .,Business and Economy
40,Y = E = O This means that the expenditure of buyers (households) becomes income for sellers (firms).,Business and Economy
41,Households spend all of their income (Y) on goods and services or consumption (C).,Business and Economy
42,All output (O) produced by firms is purchased by households through their expenditure (E).,Business and Economy
43,There is no financial sector.,Health and Lifestyle
44,There is no government sector.,Business and Economy
45,There is no foreign sector .,Business and Economy
46,"It includes household sector, producing sector and government sector.",Business and Economy
47,Each of the above sectors receives some payments from the other in lieu of goods and services which makes a regular flow of goods and physical services.,Business and Economy
48,Injection means introduction of income into the flow.,Business and Economy
49,"In the financial sector In terms of the circular flow of income model, the leakage that financial institutions provide in the economy is the option for households to save their money.",Business and Economy
50,In the government sector The leakage that the Government sector provides is through the collection of revenue through Taxes (T) that is provided by households and firms to the government.,Politics and Governance
51,"In the overseas sector The main leakage from this sector are imports (M), which represent spending by residents into the rest of the world.",Business and Economy
52,Table 1 All leakages and injections in the five sector model .,Business and Economy
53,In terms of the five sector circular flow of income model the state of equilibrium occurs when the total leakages are equal to the total injections that occur in the economy.,Business and Economy
54,Savings + Taxes + Imports = Investment + Government Spending + Exports .,Business and Economy
55,S + T + M = I + G + X.,Technology and Science
56,S + T + M ≠ I + G + X .,Technology and Science
57,The effects of disequilibrium vary according to which of the above equations they belong to.,Business and Economy
58,"If S + T + M > I + G + X the levels of income, output, expenditure and employment will fall causing a recession or contraction in the overall economic activity.",Business and Economy
59,"S + T + M > I + G + X the levels of income, expenditure and output will fall causing a contraction or recession in the overall economic activity.",Business and Economy
60,"The other equation of [[Economic equilibrium|disequilibrium]], if S + T + M < I + G + X in the five sector model the levels of income, expenditure and output will greatly rise causing a boom in economic activity.",Business and Economy
61,# Real flow is the exchange of goods and services between household and firms whereas money flow is the monetary exchange between two sectors.,Business and Economy
62,"# In real flow household sector supplies raw material, land, labour, capital and enterprise to firms and in return firms sector provides finished goods and services to household sector.",Business and Economy
63,"# When goods and services flow from one sector of the economy to another, it is known as real flow.",Business and Economy
64,"Production, consumption expenditure and generation of income are the three basic economic activities of an economy that go on endlessly and are titled as circular flow of income.",Business and Economy
65,The Watts are closely connected to the Fowlers.,Politics and Governance
66,The Watts family are also very strongly connected to the Beale family.,Business and Economy
67,"On 13 August 2012, Sharon returned to Walford with Dennis Jnr and became instantly involved with the prominent Branning family; she shared a flirtatious relationship with Jack and soon befriended his brother Max and ultimately his partner Tanya Cross, whom she initially feuded.",World News and Social Issues
68,"The Watts family were one of the central families introduced to viewers when EastEnders began in 1985, created by the show's co-creators Tony Holland and Julia Smith.",World News and Social Issues
69,"In April 1988, Anita Dobson made her last appearance as Angie Watts, and soon afterwards Leslie Grantham expressed his desire to step down from the role of Den Watts.",World News and Social Issues
70,"However, the popularity of the Watts to viewers and the importance of the family to the show meant that successive producers and executives continually asked Dean, Dobson, and Grantham to reprise their roles [REF].",World News and Social Issues
71,"Den's return was widely regarded as a coup and seen as instrumental to EastEnders success at the time,[REF] which was facing tight competition from the ITV soaps, with Coronation Street enjoying one of its most successful years ever,[REF] and Emmerdale in the midst of a ratings revival.",World News and Social Issues
72,"Again, the family was to be increasingly dominated by the volatile relationship between husband and wife, culminating in Den's death in February 2005, after Leslie Grantham decided not to extend his current contract.",World News and Social Issues
73,"Despite an official BBC report in 2005 stating that Letitia Dean was taking a scheduled break and would return to EastEnders later in 2006, this did not happen and she was away from the show for more than six years.",Sports and Entertainment
74,The importance of the Vic to the Watts became obvious when Sharon returned to lay claim to the pub after a 6-year absence.,Business and Economy
75,The return of Den (after 14 years) took the conflict between the two families to another level.,World News and Social Issues
76,"Soon after, Den was joined by his second wife Chrissie, and the pair proceeded to bring down the whole Mitchell financial empire, bankrupting the family in a scam and retaking control of the Vic.",Business and Economy
77,"In August 2012, Sharon sought out Phil's help after her son Dennis (Harry Hickles) had been kidnapped by her fiancé John Hewland (Jesse Birdsall).",World News and Social Issues
78,"In November 2015, Gavin Sullivan (Paul Nicholas) revealed that both he and Den Watts were in a gang with Eric Mitchell during the 1960s when they were growing up together in Walford.",World News and Social Issues
79,"Throughout their years on-screen, the Watts have been one of EastEnders most tried and tested sources of drama and tragedy.",Sports and Entertainment
80,The 1986 Christmas Day episode during which Den delivered Angie divorce papers is the highest rated airing of any British soap in television history.,World News and Social Issues
81,"The return of Sharon six years later in 2001 became a seminal moment for the show,[REF] eclipsed only by the intense media scrutiny surrounding Den's return two years later [REF].",Sports and Entertainment
82,"However, the Watts family have also received criticism from the press and viewers.",World News and Social Issues
83,"The Watts are a notably fractured family; it is a condition that has made them strong-willed, independent, yet also volatile and vulnerable (especially to each other).",World News and Social Issues
84,"The Watts centre on the figure of Den, who casts a strong shadow over the family.",World News and Social Issues
85,]Much of the drama in the Watts household centres on responses to Den's selfish actions and manipulative ways.,Sports and Entertainment
86,"Although Den's first and second wives only appeared on-screen for a combined total of 5 years (Angie from 1985-88; Chrissie from 2004-2005), they had an immense impact on the show and on the Watts family.",Business and Economy
87,"As adopted mother and stepmother, both Angie and Chrissie were fiercely protective of their charges.",Health and Lifestyle
88,"Rather, the two Mrs Watts were highly individual and volatile figures, dominated by their relationship to Den.",World News and Social Issues
89,"It is the relationship between Den and his ""princess"" that is the central dynamic of the Watts family.",Health and Lifestyle
90,The most common method for cantilever-deflection measurements is the beam-deflection method.,Technology and Science
91,"The relative popularity of the beam-deflection method can be explained by its high sensitivity and simple operation, and by the fact that cantilevers do not require electrical contacts or other special treatments, and can therefore be fabricated relatively cheaply with sharp integrated tips.",Technology and Science
92,Many other methods for beam-deflection measurements exist.,Technology and Science
93,"Piezoelectric detection - Cantilevers made from quartz[REF] (such as the qPlus configuration), or other piezoelectric materials can directly detect deflection as an electrical signal.",Technology and Science
94,Laser Doppler vibrometry - A laser Doppler vibrometer can be used to produce very accurate deflection measurements for an oscillating cantilever[REF] (thus is only used in non-contact mode).,Technology and Science
95,STM - The first atomic microscope used an STM complete with its own feedback mechanism to measure deflection [REF].,Technology and Science
96,Optical interferometry - Optical interferometry can be used to measure cantilever deflection [REF].,Technology and Science
97,Capacitive detection - Metal coated cantilevers can form a capacitor with another contact located behind the cantilever [REF].,Technology and Science
98,Piezoresistive detection - Cantilevers can be fabricated with piezoresistive elements that act as a strain gauge.,Technology and Science
99,"Image formation is a plotting method that produces a color mapping through changing the x-y position of the tip while scanning and recording the measured variable, i.e. the intensity of control signal, to each x-y coordinate.",Technology and Science
